Food,Compound,Min,Max,Mean,Unit
Alfalfa,Ash,0.4,3100,1166.8,mg/100g
Alfalfa,Carbohydrate,200,41800,19500,mg/100g
Alfalfa,Fat,700,12600,6650,mg/100g
Alfalfa,Fatty acids,0,400,100,mg/100g
Alfalfa,Fiber (dietary),0,7900,2450,mg/100g
Alfalfa,Proteins,4000,35100,19550,mg/100g
Alfalfa,Nitrogen,600,5600,3100,mg/100g
Alfalfa,L-Leucine,0,270,135,mg/100g
Alfalfa,epsilon-Polylysine,0,210,105,mg/100g
Alfalfa,alpha-Linolenic acid,0,175,87.5,mg/100g
Alfalfa,Phosphorus,70,70,70,mg/100g
Alfalfa,Calcium,32,136,66.667,mg/100g
Alfalfa,L-Threonine,0,130,65,mg/100g
Alfalfa,Potassium,0,79,52.667,mg/100g
Alfalfa,(R)-Oxypeucedanin,0,70,35,mg/100g
Alfalfa,"Vitamin K1 epoxide-1,4-diol",30.5,30.5,30.5,mg/100g
Alfalfa,beta-Carotene,0,87,29.032,
Alfalfa,Oleic acid,0,56,28,mg/100g
Alfalfa,Mg2+,27,27,27,mg/100g
Alfalfa,Folic acid,0,36,18.006,mg/100g
Alfalfa,Choline,14.4,14.4,14.4,mg/100g
Alfalfa,L-Ascorbic acid,0,26,10.12,mg/100g
Alfalfa,beta-Cryptoxanthin,6,6,6,
Alfalfa,alpha-Carotene,6,6,6,mg/100g
Alfalfa,Iron,0.96,12.9,4.94,mg/100g
Alfalfa,Sodium,0,6,4,mg/100g
Alfalfa,Zinc,0.92,6.9,2.913,mg/100g
Alfalfa,Retinol,0,8,1.335,mg/100g
Alfalfa,Nicotinic acid,0.481,1.8,1.009,mg/100g
Alfalfa,Thiamine,0.076,1.08,0.41067,mg/100g
Alfalfa,Nickel,0,0.73,0.365,mg/100g
Alfalfa,Riboflavine,0.126,0.58,0.353,mg/100g
Alfalfa,Selenium,0,0.6,0.23,mg/100g
Alfalfa,Copper,0,0.157,0.10467,mg/100g
Alfalfa,Manganese,0,0.188,0.094,mg/100g
Alfalfa,Pyridoxine,0,0.034,0.02267,mg/100g
Alfalfa,Chromium,0,0.009,0.00455,mg/100g
Alfalfa,alpha-Tocopherol,0,0.02,0.00333,mg/100g
Alfalfa,(-)-3-Hydroxy-9-methoxypterocarpan,Expected but not quantified,Expected,Not,butquantified
Alfalfa,(E)-Ribosylzeatin,Expected but not quantified,Expected,Not,butquantified
Alfalfa,(S)-Homostachydrine,Expected but not quantified,Expected,Not,butquantified
Alfalfa,1-18:1-2-18:2-phosphatidylcholine,Expected but not quantified,Expected,Not,butquantified
Alfalfa,1-18:1-2-18:3-phosphatidylcholine,Expected but not quantified,Expected,Not,butquantified
Alfalfa,1-18:2-2-18:2-sn-glycerol-3-phosphocholine,Expected but not quantified,Expected,Not,butquantified
Alfalfa,1-18:2-2-18:3-phosphatidylcholine,Expected but not quantified,Expected,Not,butquantified
Alfalfa,1-18:3-2-18:3-phosphatidylcholine,Expected but not quantified,Expected,Not,butquantified
Alfalfa,1-palmitoyl-2-linoleoyl-phosphatidylcholine,Expected but not quantified,Expected,Not,butquantified
Alfalfa,"3-Hydroxy-8,9-dimethoxycoumestan",Expected but not quantified,Expected,Not,butquantified
Alfalfa,"3,4,9-Trihydroxypterocarpan",Expected but not quantified,Expected,Not,butquantified
Alfalfa,9-O-Methylcoumestrol,Expected but not quantified,Expected,Not,butquantified
Alfalfa,Afrormosin 7-glucoside,Expected but not quantified,Expected,Not,butquantified
Alfalfa,Alfalone,Expected but not quantified,Expected,Not,butquantified
Alfalfa,alpha-Cryptoxanthin,Expected but not quantified,Expected,Not,butquantified
Alfalfa,alpha-Spinasterol,Expected but not quantified,Expected,Not,butquantified
Alfalfa,Biochanin A,Expected but not quantified,Expected,Not,butquantified
Alfalfa,Cardiolipin,Expected but not quantified,Expected,Not,butquantified
Almond,Ash,0,3000,216.668,mg/100g
Almond,Carbohydrate,20300,29500,24900,mg/100g
Almond,Fat,39100,39100,39100,mg/100g
Almond,Fatty acids,3100,27000,12500,mg/100g
Almond,Fiber (dietary),0,9200,4600,mg/100g
Almond,Proteins,20500,20500,20500,mg/100g
Almond,Oleic acid,26700,34041.35,30370.675,mg/100g
Almond,"(Z,Z)-9,12-Octadecadienoic acid",10736.4,10736.4,10736.4,mg/100g
Almond,L-Glutamic acid,6070.5,6070.5,6070.5,mg/100g
Almond,(E)-2-Phenyl-2-butenal,5700,5700,5700,mg/100g
Almond,L-Aspartic acid,2403.05,2403.05,2403.05,mg/100g
Almond,Sucrose,0,7500,1966.944,mg/100g
Almond,Arginine,2.465,2552.4,1651.622,mg/100g
Almond,L-Leucine,1500,1587.7,1543.85,mg/100g
Almond,Nitrogen,0.255,4000,1467.002,mg/100g
Almond,D-Aspartic acid,2.639,2400,1201.32,mg/100g
Almond,17alpha-ethynylestradiol,1150,1150,1150,mg/100g
Almond,L-Proline,1000,1283.85,1141.925,mg/100g
Almond,Glycine,1.429,1400,888.626,mg/100g
