name,category,supercateg
Angelica,Herbs and Spices,Plant foods
Savoy cabbage,Vegetables,Plant foods
Silver linden,Herbs and Spices,Plant foods
Kiwi,Fruits,Plant foods
Allium,Vegetables,Plant foods
Garden onion,Vegetables,Plant foods
Leek,Vegetables,Plant foods
Garlic,Herbs and Spices,Plant foods
Chives,Herbs and Spices,Plant foods
Lemon verbena,Herbs and Spices,Plant foods
Cashew nut,Nuts,Nuts
Pineapple,Fruits,Plant foods
Dill,Herbs and Spices,Plant foods
Custard apple,Fruits,Plant foods
Wild celery,Herbs and Spices,Plant foods
Peanut,Nuts,Nuts
Burdock,Vegetables,Plant foods
Horseradish,Herbs and Spices,Plant foods
Tarragon,Herbs and Spices,Plant foods
Mugwort,Herbs and Spices,Plant foods
Asparagus,Vegetables,Plant foods
Oat,Cereals and cereal products,Cereals and cereal products
Star fruit,Fruits,Plant foods
Brazil nut,Nuts,Nuts
Common beet,Vegetables,Plant foods
Borage,Herbs and Spices,Plant foods
Chinese mustard,Vegetables,Plant foods
Swede,Vegetables,Plant foods
Rape,Vegetables,Plant foods
Common cabbage,Vegetables,Plant foods
Cauliflower,Vegetables,Plant foods
Brussel sprouts,Vegetables,Plant foods
Kohlrabi,Vegetables,Plant foods
Broccoli,Vegetables,Plant foods
Chinese cabbage,Vegetables,Plant foods
Turnip,Herbs and Spices,Plant foods
Pigeon pea,Pulses,Pulses
Capers,Herbs and Spices,Plant foods
Pepper,Vegetables,Plant foods
Papaya,Fruits,Plant foods
Safflower,Herbs and Spices,Plant foods
Caraway,Herbs and Spices,Plant foods
Pecan nut,Nuts,Nuts
Chestnut,Nuts,Nuts
Roman camomile,Herbs and Spices,Plant foods
Chickpea,Pulses,Pulses
Endive,Vegetables,Plant foods
Chicory,Vegetables,Plant foods
Chinese cinnamon,Herbs and Spices,Plant foods
Ceylon cinnamon,Herbs and Spices,Plant foods
Watermelon,Fruits,Plant foods
Lime,Fruits,Plant foods
Lemon,Fruits,Plant foods
Pummelo,Fruits,Plant foods
"Mandarin orange (Clementine, Tangerine)",Fruits,Plant foods
Sweet orange,Fruits,Plant foods
Arabica coffee,Coffee and coffee products,Plant foods
Robusta coffee,Coffee and coffee products,Plant foods
Coriander,Herbs and Spices,Plant foods
Common hazelnut,Nuts,Nuts
Saffron,Herbs and Spices,Plant foods
Muskmelon,Fruits,Plant foods
Cucumber,Vegetables,Plant foods
Cucurbita,Vegetables,Plant foods
Cumin,Herbs and Spices,Plant foods
Turmeric,Herbs and Spices,Plant foods
Quince,Fruits,Plant foods
Lemon grass,Herbs and Spices,Plant foods
Globe artichoke,Vegetables,Plant foods
Wild carrot,Vegetables,Plant foods
Japanese persimmon,Fruits,Plant foods
Cardamom,Herbs and Spices,Plant foods
Black crowberry,Fruits,Plant foods
Loquat,Fruits,Plant foods
Rocket salad (ssp.),Vegetables,Plant foods
Wax apple,Fruits,Plant foods
Common buckwheat,Cereals and cereal products,Cereals and cereal products
Tartary buckwheat,Cereals and cereal products,Cereals and cereal products
Fig,Fruits,Plant foods
Fennel,Herbs and Spices,Plant foods
Strawberry,Fruits,Plant foods
Black huckleberry,Fruits,Plant foods
Soy bean,Pulses,Pulses
Sunflower,Herbs and Spices,Plant foods
Sea-buckthornberry,Fruits,Plant foods
Barley,Cereals and cereal products,Cereals and cereal products
Hyssop,Herbs and Spices,Plant foods
Star anise,Herbs and Spices,Plant foods
Swamp cabbage,Vegetables,Plant foods
Sweet potato,Vegetables,Plant foods
Black walnut,Nuts,Nuts
Common walnut,Nuts,Nuts
Lettuce,Vegetables,Plant foods
Grass pea,Pulses,Pulses
Sweet bay,Herbs and Spices,Plant foods
Lentils,Pulses,Pulses
Garden cress,Vegetables,Plant foods
Lovage,Herbs and Spices,Plant foods
Flaxseed,Herbs and Spices,Plant foods
Mexican oregano,Herbs and Spices,Plant foods
Lichee,Fruits,Plant foods
Lupine,Pulses,Pulses
Apple,Fruits,Plant foods
Mango,Fruits,Plant foods
German camomile,Herbs and Spices,Plant foods
Lemon balm,Herbs and Spices,Plant foods
Mentha,Herbs and Spices,Plant foods
Orange mint,Herbs and Spices,Plant foods
Cornmint,Herbs and Spices,Plant foods
Spearmint,Herbs and Spices,Plant foods
Peppermint,Herbs and Spices,Plant foods
Medlar,Fruits,Plant foods
Bitter gourd,Vegetables,Plant foods
Mulberry,Fruits,Plant foods
Black mulberry,Fruits,Plant foods
Nutmeg,Herbs and Spices,Plant foods
Sweet basil,Herbs and Spices,Plant foods
Evening primrose,Herbs and Spices,Plant foods
Olive,Vegetables,Plant foods
Sweet marjoram,Herbs and Spices,Plant foods
Pot marjoram,Herbs and Spices,Plant foods
Common oregano,Herbs and Spices,Plant foods
Rice,Cereals and cereal products,Cereals and cereal products
Millet,Cereals and cereal products,Cereals and cereal products
Poppy,Herbs and Spices,Plant foods
Passion fruit,Fruits,Plant foods
Parsnip,Vegetables,Plant foods
Avocado,Vegetables,Plant foods
Parsley,Herbs and Spices,Plant foods
Scarlet bean,Pulses,Pulses
Lima bean,Pulses,Pulses
Common bean,Pulses,Pulses
Date,Fruits,Plant foods
Black chokeberry,Fruits,Plant foods
Anise,Herbs and Spices,Plant foods
Pine nut,Nuts,Nuts
Pepper (Spice),Herbs and Spices,Plant foods
Pistachio,Nuts,Nuts
Common pea,Pulses,Pulses
Purslane,Herbs and Spices,Plant foods
"Prunus (Cherry, Plum)",Fruits,Plant foods
Apricot,Fruits,Plant foods
Sweet cherry,Fruits,Plant foods
Sour cherry,Fruits,Plant foods
European plum,Fruits,Plant foods
Almond,Nuts,Nuts
Peach,Fruits,Plant foods
Guava,Fruits,Plant foods
Pomegranate,Fruits,Plant foods
Pear,Fruits,Plant foods
Radish,Vegetables,Plant foods
Garden rhubarb,Vegetables,Plant foods
Blackcurrant,Fruits,Plant foods
Redcurrant,Fruits,Plant foods
Gooseberry,Fruits,Plant foods
Watercress,Herbs and Spices,Plant foods
Rosemary,Herbs and Spices,Plant foods
Cloudberry,Fruits,Plant foods
Red raspberry,Fruits,Plant foods
Black raspberry,Fruits,Plant foods
Sorrel,Herbs and Spices,Plant foods
Common sage,Herbs and Spices,Plant foods
Black elderberry,Fruits,Plant foods
Summer savory,Herbs and Spices,Plant foods
Winter savory,Herbs and Spices,Plant foods
Rye,Cereals and cereal products,Cereals and cereal products
Sesame,Herbs and Spices,Plant foods
Garden tomato,Vegetables,Plant foods
Cherry tomato,Vegetables,Plant foods
Garden tomato (var.),Vegetables,Plant foods
Eggplant,Vegetables,Plant foods
Potato,Vegetables,Plant foods
Rowanberry,Fruits,Plant foods
Sorghum,Cereals and cereal products,Cereals and cereal products
Spinach,Vegetables,Plant foods
Cloves,Herbs and Spices,Plant foods
Tamarind,Fruits,Plant foods
Dandelion,Herbs and Spices,Plant foods
Cocoa bean,Cocoa and cocoa products,Plant foods
Common thyme,Herbs and Spices,Plant foods
Linden,Herbs and Spices,Plant foods
Small-leaf linden,Herbs and Spices,Plant foods
Fenugreek,Herbs and Spices,Plant foods
Common wheat,Cereals and cereal products,Cereals and cereal products
"Vaccinium (Blueberry, Cranberry, Huckleberry)",Fruits,Plant foods
Lowbush blueberry,Fruits,Plant foods
Sparkleberry,Fruits,Plant foods
Highbush blueberry,Fruits,Plant foods
American cranberry,Fruits,Plant foods
Bilberry,Fruits,Plant foods
Lingonberry,Fruits,Plant foods
Vanilla,Herbs and Spices,Plant foods
Common verbena,Herbs and Spices,Plant foods
Broad bean,Pulses,Pulses
Adzuki bean,Pulses,Pulses
Gram bean,Pulses,Pulses
Mung bean,Pulses,Pulses
Climbing bean,Pulses,Pulses
Cowpea,Pulses,Pulses
Muscadine grape,Fruits,Plant foods
Common grape,Fruits,Plant foods
Corn,Cereals and cereal products,Cereals and cereal products
Ginger,Herbs and Spices,Plant foods
Arctic blackberry,Fruits,Plant foods
Banana,Fruits,Plant foods
Bayberry,Fruits,Plant foods
Elliott's blueberry,Fruits,Plant foods
Canada blueberry,Fruits,Plant foods
